datetm,open,high,low,close,volume,amount
2020-06-18T15:05:00+0530,1651.3,1651.3,1650.5,1650.8,48435,0
2020-06-18T15:06:00+0530,1650.5,1650.8,1650.3,1650.3,42410,0
2020-06-18T15:07:00+0530,1650.4,1651.5,1650.35,1651.4,51421,0
2020-06-18T15:08:00+0530,1651.45,1651.45,1648.55,1649.05,92668,0
2020-06-18T15:09:00+0530,1649,1650,1649,1649.55,41133,0
2020-06-18T15:10:00+0530,1649.5,1650.7,1649,1649.9,131046,0
2020-06-18T15:11:00+0530,1649.9,1652.4,1649,1651.7,170422,0
2020-06-18T15:12:00+0530,1651.7,1654.65,1651.7,1654,119345,0
2020-06-18T15:13:00+0530,1654.45,1654.95,1653.5,1654.95,83446,0
2020-06-18T15:14:00+0530,1654.9,1654.95,1652.6,1652.95,117291,0
2020-06-18T15:15:00+0530,1652.7,1654.7,1652.7,1653.95,98007,0
2020-06-18T15:16:00+0530,1653.95,1656,1653.95,1655.7,211161,0
2020-06-18T15:17:00+0530,1655.55,1657,1655,1656.6,162709,0
2020-06-18T15:18:00+0530,1657.25,1658.5,1656.5,1657.95,127643,0
2020-06-18T15:19:00+0530,1658.2,1660.7,1658,1660.7,217620,0
2020-06-18T15:20:00+0530,1660.3,1661,1659.55,1661,134856,0
2020-06-18T15:21:00+0530,1661,1664.35,1660.25,1661.55,292305,0
2020-06-18T15:22:00+0530,1661.3,1662.1,1660.55,1660.65,65030,0
2020-06-18T15:23:00+0530,1660.05,1660.75,1658.95,1659.1,109762,0
2020-06-18T15:24:00+0530,1659.1,1660,1658.5,1658.5,68475,0
2020-06-18T15:25:00+0530,1659.1,1660,1658.3,1659.45,44260,0
2020-06-18T15:26:00+0530,1659.45,1660.3,1659,1660.1,65531,0
2020-06-18T15:27:00+0530,1660.15,1661.7,1660.1,1661,76416,0
2020-06-18T15:28:00+0530,1661.5,1663.1,1661,1662.05,68119,0
2020-06-18T15:29:00+0530,1662.05,1664.05,1662,1663,81768,0
2020-06-19T09:15:00+0530,1670,1672.35,1663.1,1672.35,519959,0
2020-06-19T09:16:00+0530,1671.5,1672.6,1668.9,1670.1,458306,0
2020-06-19T09:17:00+0530,1670.8,1672.25,1668.8,1672.05,191474,0
2020-06-19T09:18:00+0530,1672.5,1675.55,1671.45,1672.65,295037,0
2020-06-19T09:19:00+0530,1673.9,1677.9,1673,1677.55,236440,0
2020-06-19T09:20:00+0530,1677.95,1679.1,1676.1,1676.35,214278,0
2020-06-19T09:21:00+0530,1676.35,1676.4,1674,1674.7,155046,0
2020-06-19T09:22:00+0530,1674.5,1675,1672.55,1675,117884,0
2020-06-19T09:23:00+0530,1675,1677,1674.05,1676.95,91080,0
2020-06-19T09:24:00+0530,1676.95,1679.05,1675.6,1679.05,129841,0
2020-06-19T09:25:00+0530,1679.2,1683.45,1678.75,1683,285030,0
2020-06-19T09:26:00+0530,1683,1683.7,1680.2,1680.3,187847,0
2020-06-19T09:27:00+0530,1680.95,1683.55,1680.4,1681.55,128980,0
2020-06-19T09:28:00+0530,1682.25,1684,1681.65,1683.75,110202,0
2020-06-19T09:29:00+0530,1683.1,1683.35,1681.55,1682.3,97736,0
2020-06-19T09:30:00+0530,1681.75,1682.25,1677.4,1677.95,137060,0
2020-06-19T09:31:00+0530,1678,1678.3,1676,1676,130580,0
2020-06-19T09:32:00+0530,1676.35,1676.4,1674,1674.3,132587,0
2020-06-19T09:33:00+0530,1674.6,1676.55,1674,1676.5,107310,0
2020-06-19T09:34:00+0530,1676.5,1676.95,1675,1675.5,88994,0
2020-06-19T09:35:00+0530,1675.8,1675.8,1670.7,1670.7,117683,0
2020-06-19T09:36:00+0530,1671.65,1672.7,1670,1670,144442,0
2020-06-19T09:37:00+0530,1670,1672.2,1668.25,1671.5,132038,0
2020-06-19T09:38:00+0530,1671.2,1672.2,1670,1671.3,91652,0
2020-06-19T09:39:00+0530,1671.15,1671.2,1669,1670.25,92107,0
2020-06-19T09:40:00+0530,1671.1,1674.9,1670.5,1674.9,113677,0
2020-06-19T09:41:00+0530,1675,1677.65,1674.25,1677.65,154713,0
2020-06-19T09:42:00+0530,1677.8,1678.8,1676.2,1677.15,131403,0
2020-06-19T09:43:00+0530,1677.15,1677.8,1675.1,1675.4,49608,0
2020-06-19T09:44:00+0530,1675.1,1676.95,1674.65,1675,54626,0
2020-06-19T09:45:00+0530,1675.05,1675.2,1672.65,1675.05,77653,0
2020-06-19T09:46:00+0530,1675.2,1677.8,1675.2,1677.35,60976,0
2020-06-19T09:47:00+0530,1677.4,1678,1676,1676.65,40950,0
2020-06-19T09:48:00+0530,1676.65,1678.9,1676.1,1677.85,75947,0
2020-06-19T09:49:00+0530,1677.85,1678,1675.35,1676,45680,0
2020-06-19T09:50:00+0530,1676.1,1678,1675.35,1678,35648,0
2020-06-19T09:51:00+0530,1677.4,1678.5,1676,1676.1,37772,0
2020-06-19T09:52:00+0530,1676.1,1676.1,1674.05,1674.5,61241,0
2020-06-19T09:53:00+0530,1674.4,1675,1673.45,1674.9,44884,0
2020-06-19T09:54:00+0530,1675.25,1676.6,1674.4,1674.4,45066,0
